0.02612     8.24435
0.02838     8.06982
0.03040     7.91318
0.03242     7.75468
0.03468     7.57753
0.03695     7.40038
0.03897     7.24188
0.04099     7.08524
0.04300     6.92861
0.04502     6.77011
0.04729     6.59296
0.04981     6.39754
0.05258     6.22001
0.05535     6.04846
0.05813     5.87691
0.06090     5.70983
0.06367     5.53380
0.06644     5.36821
0.06896     5.20710
0.07174     5.04151
0.07476     4.85753
0.07804     4.69308
0.08157     4.52472
0.08510     4.35849
0.08862     4.18800
0.09215     4.02178
0.09568     3.85342
0.09921     3.68506
0.10324     3.52902
0.10778     3.36161
0.11232     3.19420
0.11685     3.02844
0.12139     2.86186
0.12643     2.69061
0.13198     2.53058
0.13752     2.37666
0.14307     2.21799
0.14861     2.06406
0.15416     1.93319
0.15970     1.81385
0.16525     1.69451
0.17079     1.57517
0.17624     1.46573
0.18178     1.37473
0.18733     1.28522
0.19287     1.19572
0.19818     1.11068
0.20401     1.03278
0.20941     0.96598
0.21526     0.89587
0.22053     0.83056
0.22608     0.76923
0.23174     0.71785
0.23719     0.67061
0.24283     0.62171
0.24818     0.57364
0.25386     0.53221
0.25963     0.49574
0.26551     0.45596
0.27099     0.42074
0.27704     0.38531
0.28296     0.35734
0.28920     0.32833
0.29556     0.29767
0.30148     0.26068
0.30741     0.25291
0.31337     0.23302
0.31982     0.21002
0.32570     0.19218
0.33068     0.18081
0.33539     0.17087
0.34169     0.15595
0.34824     0.14103
0.35656     0.12611
0.36538     0.11119
0.37445     0.09628
0.37748     0.09628
0.38706     0.08136
0.39084     0.08136
